axis,freq,target,model,fold_id,fold_start,fold_end,wape,smape,mase,empirical_coverage_p80,pinball_loss_p50,pinball_loss_p80,wape_peak5,smape_peak5,mase_peak5,coverage_empirical
workload,daily,picking_movs_no_atribuibles,naive_t7,2,2024-12-14,2026-01-10,1.337837837837838,0.6755509351861599,0.7389400921658986,,5.303571428571429,,0.9097744360902256,1.5932203389830508,4.214695340501792,
workload,daily,picking_movs_no_atribuibles,ma7,2,2024-12-14,2026-01-10,1.5836550836550836,1.7212302250041505,0.8747145583551114,,6.278061224489796,,0.9484425349087003,1.7453580901856764,4.39383233254201,
workload,daily,picking_movs_no_atribuibles,ma28,2,2024-12-14,2026-01-10,1.3556949806949807,1.6990070598778824,0.7488032896443035,,5.374362244897959,,0.9135338345864662,1.663034966751745,4.232111436950147,
workload,daily,picking_movs_no_atribuibles,model_p50,2,2024-12-14,2026-01-10,0.20810944365304682,1.441950188245863,0.11494697423277421,,0.8250052944817213,,0.20734228411717776,0.19449367721208818,0.9605507959898332,
workload,daily,picking_movs_no_atribuibles,model_p80,2,2024-12-14,2026-01-10,0.29609987376454583,1.4747601036027072,0.16354752558314595,0.9285714285714286,,0.8562641478537537,0.17114166523562047,0.1672475543533547,0.7928448529881008,
workload,daily,conteo_movimientos,naive_t7,3,2026-01-11,2026-02-07,0.3693005983082319,0.7807039683637713,0.658896442496762,,31.964285714285715,,0.2904707233065442,0.3327722849531283,1.3038051392868888,
workload,daily,conteo_movimientos,ma7,3,2026-01-11,2026-02-07,0.7030563824456955,0.9748721399261937,1.2543747597220878,,60.85204081632653,,0.5876660652780056,0.8200729991692053,2.6377943614144117,
workload,daily,conteo_movimientos,ma28,3,2026-01-11,2026-02-07,0.7380927819859117,1.063160886277186,1.3168857849429996,,63.8845663265306,,0.6885353452517632,1.0450466899206696,3.0905556040239186,
workload,daily,conteo_movimientos,model_p50,3,2026-01-11,2026-02-07,0.03289883147874818,0.482292350298869,0.05869723234392192,,2.847511360312365,,0.03609742191482712,0.0355108217580163,0.1620266706117932,
workload,daily,conteo_movimientos,model_p80,3,2026-01-11,2026-02-07,0.08110789077681187,0.5782517864440927,0.14471057164833742,0.8214285714285714,,3.7724593826313417,0.06601694362947538,0.05924618730002103,0.2963232555911897,
