segment,antecedent,consequent,antecedent_size,consequent_size,support_itemset,confidence,lift,count_itemset,n_transactions
ALL,022199|126105,031149,2,1,0.007670061611970326,0.5754716981132075,41.60660377358491,61,7953
ALL,031149,022199|126105,1,2,0.007670061611970326,0.5545454545454546,41.60660377358491,61,7953
ALL,202068,204082,1,1,0.012699610209983654,0.7709923664122137,40.87801526717557,101,7953
ALL,204082,202068,1,1,0.012699610209983654,0.6733333333333333,40.87801526717557,101,7953
ALL,022199|202068,204082,2,1,0.008173016471771658,0.7558139534883721,40.07325581395349,65,7953
ALL,204082,022199|202068,1,2,0.008173016471771658,0.43333333333333335,40.07325581395349,65,7953
ALL,142008,142003,1,1,0.005406764742864328,0.5972222222222222,39.91351540616246,43,7953
ALL,142003,142008,1,1,0.005406764742864328,0.36134453781512604,39.91351540616246,43,7953
ALL,012062,014030,1,1,0.005281026027913994,0.5675675675675675,39.595305832147936,42,7953
ALL,014030,012062,1,1,0.005281026027913994,0.3684210526315789,39.595305832147936,42,7953
ALL,141136,087037,1,1,0.019112284672450647,0.9934640522875817,39.50509803921569,152,7953
ALL,087037,141136,1,1,0.019112284672450647,0.76,39.50509803921569,152,7953
ALL,012019,012012|012037,1,2,0.008173016471771658,0.3494623655913978,38.60103046594982,65,7953
ALL,012012|012037,012019,2,1,0.008173016471771658,0.9027777777777777,38.60103046594981,65,7953
ALL,022043|204000,202022,2,1,0.005155287312963662,0.7454545454545455,38.4974025974026,41,7953
ALL,202022,022043|204000,1,2,0.005155287312963662,0.2662337662337662,38.4974025974026,41,7953
ALL,022199,084099|202068,1,2,0.00590971960266566,0.27325581395348836,36.833957430035476,47,7953
ALL,084099|202068,022199,2,1,0.00590971960266566,0.7966101694915253,36.83395743003547,47,7953
ALL,031047,022043,1,1,0.01257387149503332,0.9708737864077669,36.59411954171076,100,7953
ALL,022043,031047,1,1,0.01257387149503332,0.4739336492890995,36.59411954171076,100,7953
ALL,143022,167006,1,1,0.006035458317615994,0.4752475247524752,36.34272658035034,48,7953
ALL,167006,143022,1,1,0.006035458317615994,0.4615384615384615,36.34272658035034,48,7953
ALL,031045,022043,1,1,0.01181943920533132,0.9591836734693876,36.15349646967791,94,7953
ALL,022043,031045,1,1,0.01181943920533132,0.4454976303317535,36.15349646967791,94,7953
ALL,012037,012012|012019,1,2,0.008173016471771658,0.6565656565656566,36.01149425287357,65,7953
ALL,012012|012019,012037,2,1,0.008173016471771658,0.4482758620689655,36.01149425287357,65,7953
ALL,126105|202068,022199,2,1,0.007167106752168993,0.7600000000000001,35.14116279069768,57,7953
ALL,022199,126105|202068,1,2,0.007167106752168993,0.33139534883720934,35.14116279069768,57,7953
ALL,065072|202068,022199,2,1,0.008173016471771658,0.7558139534883721,34.94760681449432,65,7953
ALL,022199,065072|202068,1,2,0.008173016471771658,0.37790697674418605,34.94760681449432,65,7953
ALL,022199|204082,031149,2,1,0.005281026027913994,0.48275862068965514,34.90344827586207,42,7953
ALL,031149,022199|204082,1,2,0.005281026027913994,0.3818181818181818,34.90344827586206,42,7953
ALL,012016,012025,1,1,0.006035458317615994,0.7164179104477612,34.53134328358209,48,7953
ALL,012025,012016,1,1,0.006035458317615994,0.2909090909090909,34.53134328358209,48,7953
ALL,012037|012040,012019,2,1,0.005029548598013328,0.7843137254901961,33.535736875395315,40,7953
ALL,012019,012037|012040,1,2,0.005029548598013328,0.2150537634408602,33.535736875395315,40,7953
ALL,169003,087002,1,1,0.00628693574751666,0.6172839506172839,32.9480487198608,50,7953
ALL,087002,169003,1,1,0.00628693574751666,0.3355704697986577,32.94804871986079,50,7953
ALL,022199|084099,202068,2,1,0.00590971960266566,0.5402298850574712,32.79731508291655,47,7953
ALL,202068,022199|084099,1,2,0.00590971960266566,0.3587786259541984,32.79731508291655,47,7953
ALL,202068,022199|126105,1,2,0.007167106752168993,0.4351145038167939,32.64590234768832,57,7953
ALL,022199|126105,202068,2,1,0.007167106752168993,0.5377358490566038,32.64590234768831,57,7953
ALL,022199|065072,202068,2,1,0.008173016471771658,0.5371900826446281,32.61276891047883,65,7953
