segment,sku,sku_name,transaction_count,ubicacion_mode,n_transactions,support,cluster_id,cluster_size,cluster_transaction_count
ALL,018059,AGUA 75CL GAS CRISTAL CAJA PLAST SOLAN,33,015-069-30,7953,0.004149377593360996,7,6559,40210
ALL,031026,SILLA DIRECTOR MAHOU 2018 MADERA,33,011-040-00,7953,0.004149377593360996,7,6559,40210
ALL,051109,LUMINOSO REJILLAS VIBRA MAHOU (TRUSS),33,011-094-20,7953,0.004149377593360996,7,6559,40210
ALL,091159,BARRA MARRON MAHOU ENCIMERA MARMOL 1.5M,33,013-044-20,7953,0.004149377593360996,7,6559,40210
ALL,124251,KITS MOCHILA FOUNDERS (COMPUESTO : MOCHI,33,013-081-10,7953,0.004149377593360996,7,6559,40210
ALL,167018,BOTELLERO GRIS CERVEZAS ALHAMBRA,33,015-032-10,7953,0.004149377593360996,7,6559,40210
ALL,012029,CERVEZA 33CL ALHAMBRA BARRICA DE RON,32,015-083-10,7953,0.004023638878410662,7,6559,40210
ALL,032031,TABURETE NEGRO CERVECISTAS OVIEDO 2022,32,011-060-30,7953,0.004023638878410662,7,6559,40210
ALL,069001,BARCA LAVADO TRANSPORTE COPA SUCIA,32,013-057-10,7953,0.004023638878410662,7,6559,40210
ALL,093082,TOTEM / TRASERA HIERRO LUMINOSO ALHAMBRA,32,011-081-00,7953,0.004023638878410662,7,6559,40210
ALL,126100,POSAVASO MARRON GAMA 1890 MAHOU,32,010-097-06,7953,0.004023638878410662,7,6559,40210
ALL,151,CJ MOCHILAS (20 UDS/CAJA),32,007-113-40,7953,0.004023638878410662,7,6559,40210
ALL,153,CJ CUADERNO A5,32,007-111-20,7953,0.004023638878410662,7,6559,40210
ALL,012010,CERVEZA 33CL ALHAMBRA ESPECIAL RADLER,31,015-049-10,7953,0.0038979001634603296,7,6559,40210
ALL,012063,CERVEZA 33CL  ALHAMBRA ESPECIAL PINCODE,31,022-103-20,7953,0.0038979001634603296,7,6559,40210
ALL,016008,BARRIL 30L MAHOU IPA (3520),31,019-114-10,7953,0.0038979001634603296,7,6559,40210
ALL,083132,ABRIDOR MADERA ALHAMBRA CERVEZA S/PRISA,31,010-099-04,7953,0.0038979001634603296,7,6559,40210
ALL,087033,PAPELERA DE MADERA SOLAN LOGO BLANCO,31,011-086-10,7953,0.0038979001634603296,7,6559,40210
ALL,091016,BARRA MADERA/CHAPA 1M MAHOU,31,015-042-10,7953,0.0038979001634603296,7,6559,40210
ALL,161033,NEVERA VINILABLE SMEG (VARIOS MODELOS),31,012-002-10,7953,0.0038979001634603296,7,6559,40210
ALL,164,CJ BOTELLAS TERMO,31,007-117-00,7953,0.0038979001634603296,7,6559,40210
ALL,DD18C,SEPARADOR PARRILLA,31,006-032-00,7953,0.0038979001634603296,7,6559,40210
ALL,012046,CERVEZA 50CL ALHAMBRA CACAO Y CHIPOTLE,30,019-120-30,7953,0.003772161448509996,7,6559,40210
ALL,013014,CERVEZA 33CL BUDWEISER (3804),30,015-122-00,7953,0.003772161448509996,7,6559,40210
ALL,019055,"SANGRIA POMELO ROSA,ENEBRO Y TONICA 33CL",30,015-003-10,7953,0.003772161448509996,7,6559,40210
